RANK_DEA,RANK_ARAS,RANK_GRA,RANK_TOP,RANK_CHANGED_DEA
149,233,369,287,408
471,65,451,445,251
54,373,338,280,89
207,184,171,106,273
26,380,164,379,245
186,143,117,64,213
322,79,428,339,147
280,207,122,302,242
140,113,382,407,308
487,18,481,468,446
259,51,334,204,193
294,384,320,255,292
250,137,28,96,179
367,243,137,175,338
175,26,478,482,344
434,98,379,419,416
73,246,307,163,226
89,425,284,310,394
86,477,189,226,393
34,295,92,75,192
20,193,392,426,224
357,414,309,239,310
321,301,224,391,426
275,453,353,348,444
361,218,395,327,478
41,164,251,112,170
480,278,352,233,262
305,198,321,153,217
500,55,415,431,382
493,74,429,441,480
199,110,93,33,18
128,286,43,32,7
37,443,152,223,325
66,125,184,66,66
204,333,409,368,232
117,409,272,308,433
11,148,19,186,127
184,215,155,100,268
154,476,166,206,352
240,287,408,362,342
74,231,438,427,368
146,370,211,390,313
49,364,31,45,10
481,264,291,165,198
490,59,234,56,128
15,217,33,170,145
364,405,287,315,410
340,244,104,52,87
264,224,191,83,184
239,177,69,34,28
228,445,200,347,378
161,357,290,266,462
136,475,72,176,336
309,151,26,14,21
430,319,344,224,207
371,34,471,477,117
176,361,254,257,464
206,298,116,73,114
465,1,500,499,499
246,229,401,350,447
482,15,475,455,200
201,222,56,30,129
203,461,190,326,466
427,208,405,351,112
426,163,396,322,113
445,29,467,469,31
64,401,113,101,181
411,261,304,199,132
25,273,78,237,175
263,134,227,95,88
251,410,165,125,73
395,16,487,488,240
352,84,144,38,3
214,127,332,187,309
183,104,394,265,330
347,343,158,110,64
40,305,446,449,289
303,496,258,392,153
18,458,148,316,252
271,382,139,105,69
90,185,247,115,158
62,225,269,135,225
81,412,300,365,339
196,498,157,323,304
87,448,362,412,365
103,44,460,464,111
476,75,410,272,203
375,341,243,388,347
287,57,305,216,191
380,80,4,9,93
363,135,67,215,223
124,374,106,84,159
7,481,37,148,166
267,138,403,292,293
407,309,327,247,92
311,404,376,380,448
83,375,252,260,372
324,317,198,352,326
102,291,15,23,26
416,7,496,497,460
82,330,216,150,164
95,366,244,252,412
248,232,328,340,399
494,5,495,491,493
328,31,477,481,331
254,347,71,70,104
499,6,480,458,471
455,69,434,345,85
35,294,86,53,150
432,255,385,300,102
301,304,36,49,214
242,427,141,374,400
99,101,368,158,40
182,444,41,72,86
373,292,150,145,366
185,482,95,194,182
225,147,281,152,305
330,175,94,74,261
433,214,303,201,116
276,362,121,103,67
244,106,11,60,138
337,49,466,476,476
350,487,128,361,306
123,197,330,306,320
420,271,206,137,244
397,438,249,358,360
323,81,58,25,47
68,172,34,22,83
274,439,350,324,423
115,432,256,282,441
52,325,126,80,27
101,136,2,2,4
234,93,3,4,79
12,139,6,147,105
230,460,182,190,373
408,107,358,174,348
485,96,276,122,202
19,237,30,55,155
257,180,283,357,322
286,451,87,114,84
468,52,9,7,30
449,191,333,208,94
320,12,490,492,414
419,349,221,171,58
290,61,131,61,188
177,484,222,331,425
96,111,7,3,1
197,133,32,15,5
151,279,98,155,263
356,288,207,334,420
285,90,383,178,71
167,342,238,248,453
189,156,236,139,295
113,123,356,188,303
338,242,329,183,178
29,241,39,218,163
222,167,178,109,278
295,105,366,294,266
147,493,235,430,250
406,327,318,209,387
32,25,486,489,340
444,112,345,172,51
452,13,491,490,143
181,339,103,78,81
410,407,226,214,180
173,265,233,120,109
142,386,237,264,451
170,205,156,102,264
166,413,125,118,126
382,419,349,313,206
31,14,489,493,294
144,356,271,249,452
28,181,54,202,162
459,70,371,162,75
470,63,456,448,333
105,411,81,126,287
76,492,170,395,385
425,424,231,197,172
385,473,215,245,401
118,196,377,330,405
253,329,109,76,154
439,219,399,341,205
179,178,219,127,286
334,297,225,173,160
44,37,459,463,239
